Paper#,Citation,No.citations,About,Focus,Location,Abstract
11,"NAISH, K., TAYLOR, J., LEVIN, P., QUINN, T., WINTON, J., HUPPERT, D., & HILBORN, R. (2008). An evaluation of the effects of conservation and fishery enhancement hatcheries on wild populations of salmon. Advances in Marine Biology, 53, 61-194.",262,Authors review hatchery effectiveness and impact and recommend areas for further research or data standardization.,Neutral,N/A,"The historical, political and scientific aspects of salmon hatchery programmes designed to enhance fishery production, or to recover endangered populations, are reviewed. We start by pointing out that the establishment of hatcheries has been a political response to societal demands for harvest and conservation; given this social context, we then critically examined the levels of activity, the biological risks, and the economic analysis associated with salmon hatchery programmes. A rigorous analysis of the impacts of hatchery programmes was hindered by the lack of standardized data on release sizes and survival rates at all ecological scales, and since hatchery programme objectives are rarely defined, it was also difficult to measure their effectiveness at meeting release objectives. Debates on the genetic effects of hatchery programmes on wild fish have been dominated by whether correct management practices can reduce negative outcomes, but we noted that there has been an absence of programmatic research approaches addressing this important issue. Competitive interactions between hatchery and wild fish were observed to be complex, but studies researching approaches to reduce these interactions at all ecological scales during the entire salmon life history have been rare, and thus are not typically considered in hatchery management. Harvesting of salmon released from fishery enhancement hatcheries likely impacts vulnerable wild populations; managers have responded to this problem by mass marking hatchery fish, so that fishing effort can be directed towards hatchery populations. However, we noted that the effectiveness of this approach is dependant on accurate marking and production of hatchery fish with high survival rates, and it is not yet clear whether selective fishing will prevent overharvest of wild populations. Finally, research demonstrating disease transmission from hatchery fish to wild populations was observed to be equivocal; evidence in this area has been constrained by the lack of effective approaches to studying the fate of pathogens in the wild. We then reviewed several approaches to studying the economic consequences of hatchery activities intended to inform the social decisions surrounding programmes, but recognized that placing monetary value on conservation efforts or on hatcheries that mitigate cultural groups' loss of historical harvest opportunities may complicate these analyses. We noted that economic issues have rarely been included in decision making on hatchery programmes. We end by identifying existing major knowledge gaps, which, if filled, could contribute towards a fuller understanding of the role that hatchery programmes could play in meeting divergent goals. However, we also recognized that many management recommendations arising from such research may involve trade-offs between different risks, and that decisions about these trade-offs must occur within a social context. Hatcheries have played an important role in sustaining some highly endangered populations, and it is possible that reform of practices will lead to an increase in the number of successful programmes. However, a serious appraisal of the role of hatcheries in meeting broader needs is urgently warranted and should take place at the scientific, but more effectively, at the societal level."
12,"Easton, M., Luszniak, D., & Von der Geest, E. (2002). Preliminary examination of contaminant loadings in farmed salmon, wild salmon and commercial salmon feed. Chemosphere., 46(7), 1053-1074.",228,"Bioaccumulation effects of humans consuming salmon, who did or did not consume commercial salmon feeds.",Risk,"BC, Canada","This pilot study examined five commercial salmon feeds, four farmed salmon (one Atlantic, three chinooks) and four wild salmon (one chinook, one chum, two sockeyes) from the Pacific Coast for PCBs (112 congeners), polybrominated diphenylethers (PBDEs - 41 congeners), 25 organochlorine pesticides (OPs), 20 polycyclic aromatic hydrocarbons (PAHs), and methyl and inorganic mercury. The fanned salmon showed consistently higher levels of PCBs, PBDEs, OPs (except toxaphene) than the wild salmon. The mean concentrations in pg/g were 51,216 vs 5302 for total PCBs; 2668 vs 178 for total PBDEs; 41,796 vs 12,164 for total OPs (except toxaphene). The fanned salmon levels are likely a consequence of the elevated level of contamination found in the commercial salmon feed (mean concentrations in pg/g were 65,535 for total PCBs; 1889 for total BPDEs; 48,124 for total OPs except toxaphene). Except for a single high wild chinook value, PAHs were highest in the feed samples followed by the farmed fish and the three other wild fish. The Bio-Oregon-1996 feed of hatchery origin showed a level of PAHs ten times higher than any other feed. The genotoxic implications of such a high PAH level are considered for juvenile chinook salmon. Toxaphene and methyl mercury concentrations were not notably different between the wild and farmed salmon. There was no clear low contaminant brand of salmon feed. The human health implications of eating farmed salmon are considered from the perspective of the current WHO and Health Canada (2000) tolerable daily intake (TDI) values for PCBs. Based on a TDI of 1 pg TEQ/kg bw/day, this analysis indicated a safety concern for individuals who on a regular weekly basis consume farmed salmon produced from contaminated feed. (C) 2002 Elsevier Science Ltd. All rights reserved."
13,"Einum, S, & Fleming, IA. (1997). Genetic divergence and interactions in the wild among native, farmed and hybrid Atlantic salmon. Journal of Fish Biology., 50(3), 634-651.",227,Authors study effects of hatchery escapements on native populations.,Risk,Norway,"There is concern that the progeny resulting from the spawnings of escaped farmed Atlantic salmon may compete with and disrupt native salmon populations. This study compared, both in the hatchery and in the wild, fitness-related traits and examined interactions among farmed, native and hybrid 0(+) parr derived from controlled crosses and reared under common conditions. The farmed salmon were seventh-generation fish from the principal commercial strain in Norway and native salmon were from the rivers Imsa and Lone, Norway. In the hatchery, farmed salmon were more aggressive than both native populations and tended to dominate them in pairwise contests. Farmed salmon were also more prone to risk, leaving cover sooner after a simulated predator attack, and had higher growth rates than native fish. Interbreeding between farmed and native fish generally resulted in intermediate expression of the above traits. There was, however, evidence of hybrid vigour in Lone/farmed crosses which were able to dominate both pure Lone and farmed parr in pairwise contests. In the wild, observations of habitat use and diet suggested that the populations compete for territory and food, and both farmed fish and hybrids expressed higher growth rates than native fish. Our results suggest that these innate differences in behaviour and growth, that probably are linked closely to fitness, will threaten native populations through competition and disruption of local adaptations. (C) 1997 The Fisheries Society of the British Isles."
14,"Weber, ED, Fausch, KD, Weber, Edward D, & Fausch, Kurt D. (2003). Interactions between hatchery and wild salmonids in streams: Differences in biology and evidence for competition. Canadian Journal of Fisheries and Aquatic Sciences = Journal Canadien Des Sciences Halieutiques Et Aquatiques., 60(8), 1018-1036.",219,Authors review studies on competition between hatchery and wild salmon and recommend ways to make studies more scientifically defensible.,Risk,N/A,"Competition between hatchery-reared and wild salmonids in streams has frequently been described as an important negative ecological interaction, but differences in behavior, physiology, and morphology that potentially affect competitive ability have been studied more than direct tests of competition. We review the differences reported, designs appropriate for testing different hypotheses about competition, and tests of competition reported in the literature. Many studies have provided circumstantial evidence for competition, but the effects of competition were confounded with other variables. Most direct experiments of competition used additive designs that compared treatments in which hatchery fish were introduced into habitats containing wild fish with controls without hatchery fish. These studies are appropriate for quantifying the effects of hatchery fish at specific combinations of fish densities and stream carrying capacity. However, they do not measure the relative competitive ability of hatchery versus wild fish because the competitive ability of hatchery fish is confounded with the increased density that they cause. We are aware of only two published studies that used substitutive experimental designs in which density was held equal among treatments, thereby testing for differences in competitive ability. Additional substitutive experiments will help managers to better understand the ecological risk of stocking hatchery fish."
15,"Fleming, IA, Einum, S, & Fleming, I. (1997). Experimental tests of genetic divergence of farmed from wild Atlantic salmon due to domestication. ICES Journal of Marine Science., 54(6), 1051-1063.",202,Genetic changes between 7th generation farmed Atlantic salmon and wild counterpart.,Neutral,Norway,"The genetic response of Atlantic salmon to culture is important in predicting the success of these fish in nature and their impacts on wild populations through competition and interbreeding. We compared a seventh-generation strain of farmed Atlantic salmon from Sunndalsora, Norway, with its principal founder population from the wild, the River Namsen. The fish were reared from eggs in a common environment and assessed for the extent of genetic divergence in several fitness-related traits. Morphology had diverged, as farmed juveniles showed more robust bodies and smaller rayed fins than the wild juveniles. Ecologically important aspects of behaviour also differed. Farmed juveniles were more aggressive in a tank environment typical of culture facilities, while wild juveniles dominated in a stream-like environment. Farmed juveniles were also more risk-prone, reappearing from cover sooner after a simulated predator attack. It was not surprising that growth performance was higher in farmed than wild juveniles, as the former had been subjected to intentional selection for this trait. Correlated responses to this selection may also explain the higher rate of smelting and lower rate of male parr maturity in the farmed than the wild salmon. Competition with wild juveniles, however, negatively affected the growth of the farmed juveniles, particularly under semi-natural conditions. Our results indicate that fanning of Atlantic salmon generates rapid genetic change, as a result of both intentional and unintentional selection in culture, that alters important fitness-related traits."
16,"Reisenbichler, RR, Rubin, SP, & Reisenbichler, R. (1999). Genetic changes from artificial propagation of Pacific salmon affect the productivity and viability of supplemented populations. ICES Journal of Marine Science., 56(4), 459-466.",194,Reviews effect of hatchery propagation on fitness of naturally reproducing Pacific salmon populations.,Risk,"Pacific Northwest, USA","Although several studies have shown genetic differences between hatchery and wild anadromous Pacific salmon (Oncorhynchus spp.), none has provided compelling evidence that artificial propagation poses a genetic threat to conservation of naturally spawning populations. When the published studies and three studies in progress are considered collectively, however, they provide strong evidence that the fitness for natural spawning and rearing can be rapidly and substantially reduced by artificial propagation. This issue takes on great importance in the Pacific Northwest where supplementation of wild salmon populations with hatchery fish has been identified as an important tool for restoring these populations. Recognition of negative aspects may lead to restricted use of supplementation, and better conservation, better evaluation, and greater benefits when supplementation is used. (C) 1999 International Council for the Exploration of the Sea."
17,"Waples, R. (1999). Dispelling Some Myths about Hatcheries. Fisheries., 24(2), 12-21.",192,Author reviews controversies surrounding hatcheries and discusses what we actually know.,Neutral,"Washington, USA","Contributing to the controversies that have surrounded fish hatcheries in recent years are a number of misconceptions or myths about hatcheries and their effects on natural populations. These myths impede productive dialogue among those with differing views about hatcheries. Most of the myths include a measure of truth, which makes it difficult to recognize the elements that are not true. Consideration of these myths leads to the following conclusions: (1) Hatcheries are intrinsically neither good nor bad-their value can be determined only in the context of clearly defined goals; (2) genetic changes in cultured populations can be reduced but not eliminated entirely; (3) empirical evidence exists of many adverse effects of hatcheries, but some risks have been overstated; and ( 1) monitoring and evaluation programs are important but should not be used as a substitute For developing risk-averse hatchery programs in the first place. A key step in resolving some of the controversies will be moving toward agreement on a common version (rather than two or more separate versions) of the realities about hatcheries. More efforts are needed in four major al eas: identifying goals, conducting overall cost:benefit analyses to guide policy decisions, improving the information base, and dealing with uncertainty."
18,"Mobrand, L., Barr, J., Blankenship, L., Campton, D., Evelyn, T., Flagg, T., . . . Smoker, W. (2005). Hatchery Reform in Washington State. Fisheries (Bethesda), 30(6), 11-23.",132,Hatchery program review and recommendations,Benefit,"Pacific Northwest, USA","Hatcheries support nearly all major fisheries for Pacific salmon (Oncorhynchusspp.) and steelhead (anadromous O.mykiss) in the Pacific Northwest. However, hatcheries have been a major source of controversy for over 30 ears The Hatchery Scientific Review Group (HSRG) was tasked by Congress to identify solutions to well-known problems so hatcheries could better meet their goals of supporting sustainable fisheries and assisting with the conservation of natural populations. We reviewed over 100 facilities and 200 programs and identified three principles of hatchery reform: (1) goals for each program must be explicitly stated in terms of desired benefits and purposes; (2) programs must be scientifically defensible; and (3) hatchery programs must respond adaptively to new information. We also identified several emerging issues critical to the success of hatcheries. We concluded that hatcheries must operate in new modes with increased scientific oversight and that they cannot meet their goals without healthy habitats and self-sustaining, naturally-spawning populations."
19,"Aprahamian, M., Martin Smith, K., McGinnity, P., McKelvey, S., & Taylor, J. (2003). Restocking of salmonids—opportunities and limitations. Fisheries Research, 62(2), 211-227.",130,Costs and benefits of salmon stocking in Britain.,Neutral,United Kingdom,"Stocking can be a cost effective method of enhancing salmonid populations, in particular where the aim is to restore populations or mitigate against developments. There are risks associated with any intervention and it is suggested that all stockings undergo risk screening in order to identify the high risk areas. The main concern regarding stocking relates to the impact on the genetic fitness of the wild population, and proposals to minimise the impact while still maintaining a fishery are made. To ensure that the greatest benefit from a stocking programme is realised, stocking rates should be optimal for the type of habitat being stocked. How this can be determined is presented together with guidelines for stocking different types of habitat. Benefit, in terms of cost of adult return or per adult fish caught, enables comparisons to be made with other management options. Information on survival rates of wild and hatchery-reared fish, unit cost of production and the economic value of fish and fishing is summarised enabling simple estimates of cost: benefit to be determined. (C) 2002 Elsevier Science B.V. All rights reserved."
20,"Masuda, R, & Tsukamoto, K. (1998). Stock enhancement in Japan: Review and perspective. Bulletin of Marine Science., 62(2), 337-358.",124,Reviews hatchery programs in Japan - successes and areas for improvement.,Benefit,Japan,"Some species typically used in stock enhancement in Japan were reviewed, and the causes of program success or failure were analyzed in an attempt to determine the best approach for future stocking. Recent successes in salmon stock enhancement are attributed to improvement of the return rate resulting from physiological and behavioral research. In scallop stock enhancement, high quality of seedlings, improvement of the environment, crop rotation, and the marketing system have supported a steady yearly increase in yield. Flounder stock enhancement in Fukushima Prefecture has achieved a 30% recapture rate, and the cost-benefit ratio is estimated to be more than 300%. In the case of red sea bream, because recreational anglers now catch a higher percentage of stocked fish than do commercial fishermen, a new method of fisheries regulation may be required, as recreational anglers now pay only little of the casts of the stocking program. Masu salmon and abalone stocks are best preserved by the protection of spawning grounds. In marine ranching of striped jack, understanding of behavioral ecology seems to be essential for the success of this project and the prevention of genetic pollution. Behavioral quality of stocked fish is a determining factor in the success of stock enhancement, so attempts have been made to improve behavioral quality in several species. Although sea farming projects have been well supported by basic research on diet, physiology, morphology, and behavior, the present authors believe that ecological research in the natural habitat of each species is indispensable for the success of stock enhancement and that the national and prefectural governments should take the initiative in protection of genetic diversity."
21,"Waples, Rs, Do, C, Waples, Robin S, & Do, Chi. (1994). Genetic Risk Associated with Supplementation of Pacific Salmonids: Captive Broodstock Programs. Canadian Journal of Fisheries and Aquatic Sciences, 51(S1), 310-329.",111,Modelling genetic impacts of captive broodstock programs,Risk,"Alaska, USA","We simulated some of the genetic consequences of temporarily using captive broodstocks to supplement Pacific salmon (Oncorhynchus spp.) populations. Results were summarized in terms of the parameter Delta IBD, which represents the change in level of inbreeding in the postsupplementation population compared with the control. We found that: (1) the most important factor affecting Delta IBD was whether the population remained large after supplementation ceased; (2) the absolute number of wild adults taken for broodstock had a stronger influence on Delta IBD than did the proportion of the population sampled; (3) if a captive broodstock program is successful, virtually all of the genes in the postsupplementation population will be derived from fish taken into the hatchery for broodstock; (4) in programs that last longer than one generation, marking hatchery fish is essential to avoid additional increases in inbreeding, and marking rates <100% may be ineffective; and (5) broodstock practices such as sib-avoidance mating and equalizing progeny number affected inbreeding levels during the captive phase but had little permanent effect on Delta IBD. A number of factors not considered in this study (e.g., domestication selection and the fitness consequences of given levels of inbreeding) should also be evaluated in deciding whether or how to implement captive broodstock programs."
22,"McClure, M., Holmes, E., Sanderson, B., & Jordan, C. (2003). A Large-Scale, Multispecies Status Assessment: Anadromous Salmonids in the Columbia River Basin. Ecological Applications, 13(4), 964-989.",111,Effect of management actions on Columbia River Basin ESUs,Neutral,"Washington, USA","Twelve salmonid evolutionarily significant units (ESUs) throughout the Columbia River Basin are currently listed as threatened or endangered under the Endangered Species Act; these ESUs are affected differentially by a variety of human activities. We present a standardized quantitative status and risk assessment for 152 listed salmonid stocks in these ESUs and 24 nonlisted stocks. Using data from 1980-2000, which represents a time of stable conditions in the Columbia River hydropower system and a period of ocean conditions generally regarded as poor for Columbia Basin salmonids, we estimated the status. of these-stocks under two different assumptions: that hatchery-reared spawners were not reproducing during the period of the censuses, or that hatchery-reared spawners were reproducing and thus that reproduction from hatchery inputs was masking population,trends. We repeated the analyses using a longer time period containing both ""good"" and ""bad"". ocean conditions (1965-2000) as a first step toward determining whether recent apparent declines are a result of sampling a period of poor ocean conditions. All the listed ESUs except Columbia River chum showed declining trends with estimated long-term population growth rates (X's) ranging from 0.85 to 1.0, under the, assumption that hatchery fish were not reproducing and not masking the true X. If hatchery fish were reproducing, the estimated X's fanged from 0.62 to 0.89, indicating extremely low natural reproduction and survival. For most ESUs, there was no significant decline in population growth rates calculated for. the 1980-2000 Vs. 1965-2000 time periods, suggesting that the current population status for most ESUs is not solely. a result of changes in ocean conditions, and that without other changes, risks will persist even during upturns in ocean conditions. However, estimated population growth rates for the Snake River spring-summer chinook salmon and steelhead ESUs were significantly lower during the longer time period. This difference may be due to a period of dam building on the Snake River during the 1960s and 1970s. For 33 stocks and seven ESUs, the probability of extinction could be estimated. The estimates were generally low for all ESUs with the exception of Upper Columbia River spring chinook and Upper Willamette River steelhead. The probability of 90% decline could be estimated for all stocks. The mean probability of 90% decline in 50 years was highest for Upper Columbia River spring chinook (95% mean probability across all stocks within the ESU) and Lower Columbia River steelhead (80% mean probability). We estimated the effects of two different management actions on long-term growth rates for the ESUs. Harvest reductions offer a means to mitigate risks for ESUs that bear substantial harvest pressure, but they are unlikely to increase population growth rates enough to produce stable or increasing trends for all ESUs. Similarly, anticipated improvements to passage survival through the Snake and mainstem Columbia hydropower systems may be important, but additional actions are likely to be necessary to recover affected ESUs."
