Paper_Number,Type_of_salmon,Category,ESB,ESP,Hatchery_fish,Sentence_about_service,Service_in_my_words,Type_of_interaction,CICES_section1,CICES_division1,CICES_group1,CICES_class1,CICES_code1,CICES_section2,CICES_division2,CICES_group2,CICES_class2,CICES_code2,CICES_section3,CICES_division3,CICES_group3,CICES_class3,CICES_code3,EE_domain1,EE_code1,EE_domain2,EE_code2,EE_domain3,EE_code3
1,anadromous,eco,marine mammals and fish,salmon smolts,No,"""Juvenile salmon (smolts) rearing in fresh water also transport nutrients back to the sea (Moore & Schindler, 2004; Scheuerell et al., 2005) and provide food subsidies to marine mammals and fish upon their entry into the estuary and ocean (Wood et al., 1993; Orr et al., 2004). "" (1945)",provision for marine megafauna,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of salt waters by living processes,2.2.5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,anadromous,eco,"sculpin, char, trout",spawning salmon,No,"""Some studies have shown that salmon can account for 30–75% of the nitrogen source in freshwater ecosystems (Naiman et al., 2002). Fish such as sculpin (Cottus spp.), char (Salvelinus spp.) and trout (Oncorhynchus spp.), that reside in streams used by spawning adult salmon, often have high stable isotope ratios indicating the accumulation of marine-derived nutrients (Kline et al., 1990, 1993; Chaloner et al., 2002)."" (1945)",provision for stream resident fish,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,coho,eco,coho and steelhead juveniles,salmon carcasses,No,"""Bilby et al. (1998) demonstrated that the additions of coho salmon (Oncorhynchus kisutch Walbaum) carcasses to small streams in southwestern Washington led to increased density and body condition of juvenile coho and steelhead (O. mykiss), and that eggs and salmon flesh dominated the diets of those fish during the 1 month they were available. "" (1950)",provision for stream-resident fish,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,not specified,eco,cutthroat trout and Dolly Varden juvelines,salmon carcasses,No,"""Following the addition of salmon carcasses to small experimental stream channels in southeast Alaska, Wipfli et al. (2003) found significant increases in the growth rates of juvenile cutthroat trout (Oncorhynchus clarkii Richardson) and Dolly Varden (Salvelinus malma Walbaum)"" (1951)",provision for stream-resident fish,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,chinook,eco,rainbow and cutthroat trout juveniles,salmon carcasses,No,"""Recently, Wilzbach et al. (2005) found that additions of chinook salmon (Oncorhynchus tshawytscha Walbaum) carcasses had some positive effect on the growth rates of young rainbow and cutthroat trout, but only in stream reaches where the riparian vegetation had been cut."" (1951)",provision for stream-resident fish,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Chum, chinook, coho, stealhead, pink",eco,Stream,spawning salmon,No,"""Ammonium and SRP [soluble reactive phosphorus] concentrations were significantly higher in stream reaches containing salmon spawners than in reaches lacking spawners (P < 0.002; Fig. 3)"" (592)",regulating stream chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Chum, chinook, coho, stealhead, pink",eco,Phytoplankton,spawning salmon,No,"""Epilithic chlorophyll a and AFDM [ash-free dry mass] were both significantly higher in stream reaches containing salmon spawners (P < 0.01; Fig. 4)"" (592)",provision for phytoplankton and regulating stream chem,"Direct, Indirect",Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Chum, chinook, coho, stealhead, pink",eco,Chironomids,spawning salmon,No,"""Of the individual taxa analysed, only the biomass of chironomids was significantly higher in stream reaches containing salmon spawners (P < 0.001; Fig. 5b)."" (592)",provision for stream insects,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,not specified,eco,Chironomids,salmon carcasses,No,"""In previous studies, chironomids responded positively to the addition to streams of organic and inorganic material (e.g. Warren et al., 1964; Mundie et al., 1991) including salmon carcasses (e.g. Wipfli et al., 1999)."" (594)","regulating stream chem, provision for stream bugs","Direct, Indirect",Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,not specified,eco,Trichopterans,salmon carcasses,No,"""Minakawa (1997) found greater growth in trichopterans directly feeding on MDN (i.e., salmon carcasses). "" (4)",provision for stream bugs,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,coho,socio,PNW residents,spawning salmon,No,"""We find that benefits to the population of Pacific Northwest residents are as much as $518 million/y for an extra 100,000 returning salmon and as much as $277 million/y for quick vs. slow increases in returning fish."" (10)",cultural existence,Direct,Cultural ,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Other biotic characteristics that have a non-use value,Characteristics or features of living systems that have an existence value,3.2.2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,coho,socio,PNW college graduates,spawning salmon,No,""" In particular, college graduates are WTP approximately $31/y more per 100,000 returning fish than those without a college degree. "" (9)",cultural existence,Direct,Cultural ,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Other biotic characteristics that have a non-use value,Characteristics or features of living systems that have an existence value,3.2.2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Coho, chinook, sockeye, steelhead",socio,recreational fisheries,adult salmon,No,""" In southeast Alaska, world-class ocean, estuarine, and freshwater fisheries support a destination sportfishing and charter industry, where two of every three harvested fish are salmon. The salmon fishery supported an estimated total of $358.7 million in southeast Alaska sportfishing revenues during 2007 (TWC Economics 2010)."" (435)",provision for fisheries profits; cultural experience of sportfishing,Direct,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Physical and experiential interactions with natural environment,"Characteristics of living systems that that enable activities promoting health, recuperation or enjoyment through active or immersive interactions ",3.1.1.1,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Coho, chinook, sockeye, steelhead",socio,commercial fishers,adult salmon via forest ecosystem,No,"""For the period 1994–2015, this national forest produced on average about 49 million wild salmon annually, with an average direct value of $100 million paid to fishers (ex-vessel) between 2010 and 2014."" (436)",provision of income to fishers,Direct,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Coho, chinook, sockeye, steelhead",socio,Southeast AK workers,commercial salmon fishery via adult salmon,No,"""As for indirect outputs associated with salmon in Southeast Alaska, the commercial salmon fishery supports 1 in 10 jobs (totaling over 4,500), both in direct fishing and in the processing of salmon (TWC Economics 2010)."" (436)",provision of job/income,Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy",Fibres and other materials from wild animals for direct use or processing (excluding genetic materials),1.1.6.3,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,NA
5,"Coho, chinook, sockeye, steelhead",socio,USFS,"Jamestown S'Klallam, Confederated Tribes of Warm Springs Reservation",No,"""Two recipients of the USFS 2016 National Rise to the Future Awards given for outstanding leadership in fisheries and watershed programs reflect the integrated planning and significant ecological and cultural accomplishments achieved through relationships and partnerships with two separate tribal governments: the Confederated Tribes of the Warm Springs Reservation in Oregon (see Case Study) and the Jamestown S’Klallam Tribe in Washington to implement recovery action plans for steelhead Oncorhynchus mykiss, Bull Trout Salvelinus confluentus, and spring Chinook Salmon O. tshawytscha."" (436)",provision of partnership; cultural benefits to both tribes and USFS,Indirect,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,NA,NA,NA,NA,NA,Indigenous Management,Indigenous Management Systems,Indigenous Management,"Indigenous Laws, Government & Institutions",NA,NA
5,sockeye,socio,Native communities; rural Alaskans,adult salmon,No,"""Subsistence use by Native communities and Rural Alaskans represents a culturally invaluable amenity and way of life: (A) Sockeye Salmon Oncorhynchus nerka population monitoring at Sitkoh Lake (photo credit: W. Owen); and (B) Angoon residents Roger Williams, Sr. and Roger Williams, Jr. seining Sockeye Salmon for a population study at Sitkoh Lake to inform subsistence harvest on the Tongass National Forest. Photo credit: D. Martin."" (437)","provision of harvest to humans, research opportunities",Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that enable scientific investigation or the creation of traditional ecological knowledge,3.1.2.1,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,Knowledge & Practices,Fishing Activities,Knowledge & Practices,Heritage,NA,NA
5,"Coho, chinook, sockeye, steelhead",socio,Native communities; rural Alaskans,fishing via adult salmon,No,"""For both users, subsistence fishing provides an important protein source with high substitute values, incalculable cultural importance, and a link to a way of life that has vanished in most of the continental United States. The state's rural residents harvest about 19,958 metric tons (22,000 tons) of wild foods each year—an average of 170 kg (375 lb) per person. Fish make up about 60% of this harvest statewide (ADFG 2000). Nowhere else in the United States is there such a heavy reliance upon wild foods."" (437)","nutrient provision, cultural significance, heritage",Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,Cultural ,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Other biotic characteristics that have a non-use value,Characteristics or features of living systems that have an option or bequest value,3.2.2.2,Knowledge & Practices,Heritage,Health,Physical Health,Knowledge & Practices,Fishing Activities
5,"Coho, chinook, sockeye, steelhead",socio,Tribes,Tribal Fisheries Program,No,"""The Tribes’ Fisheries Program Mission is deeply embedded as part of their cultural heritage: “to provide fisheries populations at harvestable levels, allowing opportunities for tribal members to exercise their treaty rights of harvest using information gained from research, management and habitat programs within the Natural Resources branch.”"" (435)","cultural significance via heritage, governance",Indirect,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that are resonant in terms of culture or heritage,3.1.2.3,Cultural ,Other characteristics of living systems that have cultural significance,Other,Other,3.3.X.X,NA,NA,NA,NA,NA,Indigenous Management,Rights,Indigenous Management,"Indigenous Laws, Government & Institutions",Knowledge & Practices,Heritage
6,"pink, chum",eco,Biofilm,spawning salmon,No,"""However, salmon effects were evident in certain streams and years (P < 0.05 for interactions). For example, MAY and TWE [stream names] showed large increases in the AI [autotrophic index] with salmon arrival compared with other streams (Fig. 4e)"" (136)",Provision of biomass for stream film,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"pink, chum",eco,Biofilm,spawning salmon,No,"""We found that biofilm biomass increased with the presence of spawning salmon, but the magnitude varied markedly among streams and years"" (137)",Provision of energy to stream film,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"pink, chum",eco,Stream,spawning salmon,No,"""The increases in NH4+ and SRP concentrations can be directly attributed to salmon excretion, or in the case of NO з~, excretion of NH4+ followed by nitrification (Levi and others unpublished data)"" (610)",Regulation of stream chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"pink, chum",eco,Stream,benthic biofilm via disturbance by spawning salmon,No,"""Increases in concentrations of particulate nutrients observed in our study can be best explained by benthic biofilm and associated particulates that become dislodged and entrained during salmon migration and nest construction"" (610)",Regulation of stream chem,Indirect,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,pink,eco,Stream,spawning salmon,No,"""Based on Gende and others (2004), this approach indicates that from the time a typical male pink salmon begins upstream migration to the time of senescent death it excretes 13.6 g of N and 1.5 g of P"" (610)",Regulation of stream chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"pink, chum",eco,Stream,salmon carcasses,No,"""however, following the onset of carcass accumulation, dissolved nutrients tended to be slightly greater in the carcass-retention reach relative to the reference reach (Figure 3)"" (605)",Regulation of stream chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"pink, chum",eco,Autotrophs and heterotrophs,spawning salmon,No,""" Before the salmon run, autotrophs and heterotrophs of NDS Were co-limited by N and P in both reaches, as evidenced by significant increases in chLz and respiration when N and P were amended together. Responses to treatments with N or P alone were of a relatively minor magnitude, but statistically significant (Appendices 2 and 3 in Supplementary material). During the salmon run when both live salmon and carcasses were present, autotrophs were no longer nutrient limited"" (608)",Provision of nutrients via regulation of stream chem,Indirect,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"pink, chum",eco,Biofilm,spawning salmon,No,"""Biofilm biomass increased with the onset of the salmon run on the relatively large rocks that we sampled. Chlorophyll a and AFDM both reached a maximum on August 14, before declining to approximately pre-salmon run values by late September"" (608)","Nutrient provision, stream chem regulation","Direct, Indirect",Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Water conditions,Regulation of the chemical condition of freshwaters by living processes,2.2.5.2,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,not specified,eco,Stream and terrestrial organisms,salmon carcasses,No,"""Finally,, numerous terrestrial and aquatic vertebrate and invertebrate species feed on carcasses, which can constitute a large fraction of their caloric intake (Cederholm and others 1999; Adams and others 2010)"" (612)",Energy provision for stream organisms,Direct,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic)  used as a source of energy,1.1.6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,not specified,eco,Terrestrial ecosystem,Bear via salmon,No,"""mean redistribution rates of salmon-derived N by adult female brown bears were 37.2 ± 2.9 kg year−1 per bear (range 23.1–56.3), of which 96% (35.7 ± 2.7 kg year−1 per bear) was excreted in urine, 3% (1.1 ± 0.1 kg year−1 per bear) was egested in faeces and < 1% (0.3 ± 0.1 kg year−1 per bear) was retained in the body."" (1203)",Regulation of soil chem,Indirect,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,not specified,eco,Terrestrial ecosystem,Bear via salmon carcass,No,"""For example, bears can distribute marine-derived nutrients to the surrounding forest by carrying 42–68% of the salmon they kill away from streams (Quinn et al. 2009)"" (1204)",Regulation of soil chem,Direct,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,not specified,eco,Spruce trees,nutrient enrichment via salmon,No,"""This level of nutrient input may seem small but 15.5–17.8% of the total N in spruce foliage within 500 m of the stream was derived from salmon in this highly nutrient-limited system (Hilderbrand et al. 1999)."" (1203)",Nutrient provision to trees,Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,not specified,eco,"Terrestrial ecosystem, forestry services",Bear via salmon carcass,No,"""Salmon feeding by bears also elevates total inorganic N pools (NH4+ + NO3−) threefold, and gaseous N2O flux by 32-fold compared to riparian areas with lower bear activity (Holtgrieve et al. 2009). This level of nitrogen input provides on average c. 2.2 g N m−2 to the riparian zone and constitutes up to 24% of the total riparian N budget (Helfield & Naiman 2006), a level that approaches fertilization inputs needed to sustain silvicultural activities in the same kind of forest ecosystem (Quinn et al. 2009)."" (1203)","Nutrient provision to ecosystem, silvicultural activities",Indirect,Provisioning ,Biomass,"Wild animals (terrestrial and aquatic)  for nutrition, materials or energy   ",Wild animals (terrestrial and aquatic) used for nutritional purposes,1.1.6.1,Regulation & Maintenance ,"Regulation of physical, chemical, biological conditions",Regulation of soil quality,Decomposition and fixing processes and their effect on soil quality,2.2.4.2,Cultural ,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Intellectual and representative interactions with natural environment,Characteristics of living systems that enable education and training,3.1.2.2,NA,NA,NA,NA,NA,NA
